1,non,not,,
2,che,that,,
3,di,of,,
4,e,is,,
5,la,there,,
6,il,the,,
7,un,a,,
8,a,to,,
9,è,is,,
10,per,for,,
11,in,in,,
12,una,a,,
13,sono,I'm,,
14,mi,me,,
15,ho,I have,,
16,si,Yes,,
17,lo,the,,
18,ma,but,,
19,ti,you,,
20,ha,has,,
21,le,the,,
22,cosa,thing,,
23,con,with,,
24,i,the,,
25,no,no,,
26,da,from,,
27,se,self,,
28,come,such as,,
29,io,I,,
30,ci,us,,
31,questo,this,,
32,qui,here,,
33,hai,you have,,
34,bene,well,,
35,sei,six,,
36,tu,you,,
37,del,of the,,
38,me,myself,,
39,mio,my,,
40,al,to the,,
41,solo,only,,
42,sì,Yup,,
43,tutto,all,,
44,te,you,,
45,più,more,,
46,della,of the,,
47,era,was,,
48,c,c,,
49,lei,she,,
50,gli,the,,
51,mia,my,,
52,questa,this,,
53,ne,neither,,
54,fare,do,,
55,quando,when,,
56,essere,to be,,
57,fatto,done,,
58,perché,why,,
59,so,I know,,
60,ora,Now,,
61,o,or,,
62,va,it goes,,
63,mai,never,,
64,chi,who,,
65,detto,say,,
66,così,so,,
67,alla,a,,
68,quello,one,,
69,tutti,all,,
70,oh,Oh,,
71,anche,also,,
72,molto,very,,
73,dei,of,,
74,lui,he,,
75,voglio,I want,,
76,niente,anything,,
77,stato,state,,
78,grazie,thank you,,
79,dove,where is it,,
80,abbiamo,we have,,
81,tuo,your,,
82,nel,in,,
83,allora,then,,
84,sta,It is,,
85,posso,I can,,
86,siamo,we are,,
87,uno,one,,
88,vuoi,do you want,,
89,hanno,have,,
90,noi,we,,
91,prima,before,,
92,suo,his,,
93,stai,are you,,
94,tua,your,,
95,due,two,,
96,ancora,yet,,
97,casa,home,,
98,fa,does,,
99,sua,her,,
100,qualcosa,something,,
101,vero,true,,
102,su,on,,
103,sai,you know,,
104,sia,both,,
105,sempre,always,,
106,dire,to say,,
107,loro,their,,
108,quella,that,,
109,andiamo,here we go,,
110,andare,to go,,
111,delle,of the,,
112,vi,you,,
113,quel,that,,
114,ehi,Hey,,
115,devo,I must,,
116,signore,lord,,
117,nella,in,,
118,ad,to,,
119,tempo,time,,
120,certo,of course,,
121,voi,you,,
122,vita,life,,
123,forse,perhaps,,
124,adesso,now,,
125,fuori,out,,
126,li,there,,
127,davvero,really,,
128,sto,I'm,,
129,anni,years,,
130,poi,then,,
131,altro,other,,
132,dio,God,,
133,via,Street,,
134,visto,seen,,
135,proprio,own,,
136,parte,part,,
137,ok,ok,,
138,beh,Well,,
139,puoi,can,,
140,credo,I think,,
141,sul,on the,,
142,ciao,Hello,,
143,volta,time,,
144,cose,what's this,,
145,quanto,how much,,
146,uomo,man,,
147,nessuno,nobody,,
148,padre,father,,
149,dopo,after,,
150,amico,friend,,
151,fai,do,,
152,può,can he,,
153,vuole,wants,,
154,posto,place,,
155,lavoro,work,,
156,qualcuno,someone,,
157,già,already,,
158,meglio,better,,
159,devi,you have to,,
160,ed,and,,
161,giorno,day,,
162,vedere,to see,,
163,cazzo,dick,,
164,dai,come on,,
165,cui,which,,
166,cos,cos,,
167,dal,from the,,
168,vai,Go,,
169,bisogno,need,,
170,ogni,every,,
171,vieni,Come,,
172,ecco,here,,
173,senza,without,,
174,ce,there is,,
175,male,bad,,
176,stata,was,,
177,troppo,too much,,
178,signor,Mr,,
179,qualche,some,,
180,mamma,mum,,
181,perchè,because,,
182,tanto,much,,
183,dobbiamo,we have to,,
184,avete,you have,,
185,dalla,from,,
186,sarà,Sara,,
187,prego,You are welcome,,
188,modo,way,,
189,grande,great,,
190,tra,between,,
191,ll,The,,
192,miei,my,,
193,guarda,look,,
194,favore,favor,,
195,alle,to,,
196,quindi,then,,
197,sembra,it seems,,
